,field,files,total_size
319,field0563,128.0,4449.8443603515625
320,field0564,168.0,3101.101875305176
321,field0565,128.0,1887.6075735092163
322,field0566,128.0,1272.1061687469482
323,field0567,128.0,1242.6376342773438
324,field0568,128.0,675.4875078201294
325,field0569,128.0,739.1929597854614
326,field0570,192.0,1021.7304229736328
327,field0571,184.0,585.9727849960327
328,field0572,184.0,517.5714492797852
329,field0573,174.0,516.4308547973633
330,field0574,128.0,579.3571405410767
331,field0575,182.0,603.7654790878296
332,field0576,192.0,846.1427640914917
333,field0577,192.0,818.7227182388306
334,field0578,192.0,904.9415531158447
335,field0579,192.0,721.1685056686401
336,field0580,192.0,778.415675163269
337,field0581,192.0,900.9361238479614
338,field0582,192.0,987.3390188217163
339,field0583,192.0,1281.73828125
340,field0584,192.0,1432.8002834320068
341,field0585,192.0,1657.1044836044312
342,field0586,192.0,3748.035430908203
343,field0587,192.0,10533.046721458435
344,field0588,128.0,13278.007507324219
345,field0589,128.0,19516.944885253906
346,field0590,188.0,23111.343381881714
347,field0591,189.0,43096.065521240234
348,field0592,128.0,30148.50616455078
349,field0593,192.0,13479.232787132263
350,field0594,189.0,3426.5518188476562
351,field0595,128.0,2945.8999633789062
352,field0596,192.0,1855.8502168655396
353,field0597,192.0,1665.01997756958
354,field0598,128.0,1115.8943176269531
355,field0599,192.0,1616.0964965820312
356,field0600,191.0,1431.179045677185
357,field0601,191.0,1407.3371858596802
358,field0602,191.0,1333.045958518982
359,field0603,128.0,1126.9569387435913
360,field0604,162.0,1487.6785278320312
361,field0605,128.0,1003.6468505859375
362,field0606,128.0,1103.5919189453125
363,field0607,128.0,1575.2792339324951
364,field0608,128.0,1471.5194673538208
365,field0609,127.0,1532.4592580795288
366,field0610,128.0,2429.485321044922
367,field0611,189.0,3329.129219055176
368,field0612,188.0,5060.179710388184
369,field0613,128.0,3159.5230102539062
370,field0614,140.0,1989.1529083251953
371,field0615,175.0,1352.025029182434
372,field0616,128.0,1288.9862060546875
373,field0617,156.0,809.7696256637573
374,field0618,128.0,897.0260534286499
375,field0619,128.0,1077.7473440170288
376,field0620,190.0,674.1533193588257
377,field0621,171.0,579.947470664978
378,field0622,192.0,642.014500617981
379,field0623,192.0,729.2957277297974
380,field0624,192.0,1018.5995092391968
381,field0625,192.0,955.0390243530273
382,field0626,192.0,958.2166662216187
383,field0627,192.0,753.363597869873
384,field0628,192.0,808.4297151565552
385,field0629,192.0,864.7918643951416
386,field0630,192.0,972.7478017807007
387,field0631,192.0,1056.9572429656982
388,field0632,192.0,1219.7494506835938
389,field0633,192.0,3812.0269689559937
390,field0634,192.0,5347.633361816406
391,field0635,192.0,7809.543609619141
392,field0636,128.0,4694.938659667969
393,field0637,128.0,13389.58740234375
394,field0638,128.0,24482.72705078125
395,field0639,189.0,47467.32711696625
396,field0640,188.0,26076.14040374756
397,field0641,129.0,21916.10336303711
398,field0642,129.0,11460.87646484375
399,field0643,192.0,8186.8171672821045
400,field0644,191.0,2643.871307373047
401,field0645,192.0,2258.5868825912476
402,field0646,192.0,1724.3385229110718
403,field0647,191.0,1498.317717552185
404,field0648,190.0,2489.185333251953
405,field0649,191.0,2293.7774658203125
406,field0650,191.0,1782.131194114685
407,field0651,191.0,2555.1795959472656
408,field0652,146.0,2015.9502029418945
409,field0653,172.0,2239.5553588867188
410,field0654,128.0,1607.4180603027344
411,field0655,128.0,1615.04745388031
412,field0656,128.0,2272.2244262695312
413,field0657,128.0,2492.809295654297
414,field0658,128.0,4913.330078125
415,field0659,189.0,5206.5324783325195
416,field0660,128.0,3182.4111938476562
417,field0661,128.0,2178.192138671875
418,field0662,171.0,1671.5440740585327
419,field0663,174.0,1477.9958715438843
420,field0664,128.0,820.4460077285767
421,field0665,128.0,982.0938081741333
422,field0666,192.0,1215.249056816101
423,field0667,192.0,753.0240898132324
424,field0668,192.0,823.3776044845581
425,field0669,192.0,830.5158548355103
426,field0670,192.0,816.4329452514648
427,field0671,192.0,1021.2507247924805
428,field0672,192.0,962.175365447998
429,field0673,192.0,980.5183391571045
430,field0674,192.0,807.3806762695312
431,field0675,192.0,885.8671169281006
432,field0676,192.0,2125.835418701172
433,field0677,192.0,2258.014678955078
434,field0678,192.0,2811.8133544921875
435,field0679,192.0,3702.831268310547
436,field0680,192.0,4868.50737953186
437,field0681,192.0,6245.42236328125
438,field0682,192.0,8263.20648097992
439,field0683,192.0,13809.394835472107
440,field0684,192.0,22276.973724365234
441,field0685,128.0,28882.980346679688
442,field0686,187.0,47574.42474079132
443,field0687,190.0,23606.01425075531
444,field0688,128.0,27977.943420410156
445,field0689,128.0,13918.876647949219
446,field0690,128.0,6517.4102783203125
447,field0691,191.0,6066.5130615234375
448,field0692,192.0,4674.339291572571
449,field0693,191.0,1979.1603021621704
450,field0694,191.0,3580.093382835388
451,field0695,191.0,5469.417570114136
452,field0696,191.0,2723.2170085906982
453,field0697,191.0,2603.5308799743652
454,field0698,169.0,3622.150421142578
455,field0699,128.0,2799.98779296875
456,field0700,128.0,2893.1617736816406
457,field0701,128.0,2904.3197631835938
458,field0702,188.0,6206.315994262695
459,field0703,128.0,6610.870361328125
460,field0704,168.0,3636.481285095215
461,field0705,128.0,2319.3359375
462,field0706,128.0,1934.6237182617188
463,field0707,192.0,1743.1707382202148
464,field0708,180.0,997.5252151489258
465,field0709,192.0,916.3904190063477
466,field0710,190.0,798.2911996841431
467,field0711,192.0,796.3685913085938
468,field0712,192.0,952.2047033309937
469,field0713,191.0,921.521185874939
470,field0714,192.0,1035.7465744018555
471,field0715,192.0,1060.2188110351562
472,field0716,192.0,1488.2554950714111
473,field0717,192.0,1496.5019207000732
474,field0718,192.0,1721.5728759765625
475,field0719,192.0,2120.685577392578
476,field0720,192.0,2575.68359375
477,field0721,192.0,3108.7875366210938
478,field0722,192.0,4021.0723876953125
479,field0723,192.0,5036.735527038574
480,field0724,192.0,6416.702269554138
481,field0725,192.0,8512.020111083984
482,field0726,192.0,13682.842250823975
483,field0727,128.0,11812.210083007812
484,field0728,128.0,27645.111083984375
485,field0729,191.0,21648.658750534058
486,field0730,188.0,13802.760124206543
487,field0731,128.0,20518.30291748047
488,field0732,128.0,11542.320251464844
489,field0733,128.0,6862.640380859375
490,field0734,128.0,4258.155822753906
491,field0735,128.0,3803.253173828125
492,field0736,190.0,9258.937834739685
493,field0737,191.0,5780.887603759766
494,field0738,190.0,4371.4523277282715
495,field0739,128.0,4071.2356567382812
496,field0740,130.0,4266.834259033203
497,field0741,144.0,5467.781066894531
498,field0742,165.0,5290.806770324707
499,field0743,187.0,6422.306060791016
500,field0744,131.0,4176.080703735352
501,field0745,163.0,2645.909309387207
502,field0746,165.0,2378.3035278320312
503,field0747,190.0,1547.6722717285156
504,field0748,192.0,1214.6739950180054
505,field0749,192.0,888.9493932723999
506,field0750,192.0,1200.4671096801758
507,field0751,192.0,1169.5489883422852
508,field0752,192.0,1226.1333465576172
509,field0753,192.0,982.0919027328491
510,field0754,192.0,1082.8495025634766
511,field0755,192.0,1082.4136724472046
512,field0756,192.0,1463.8843450546265
513,field0757,192.0,1608.7532043457031
514,field0758,192.0,2352.2377014160156
515,field0759,192.0,2458.477020263672
516,field0760,192.0,3057.6705932617188
517,field0761,192.0,3864.4790649414062
518,field0762,192.0,4951.572410583496
519,field0763,189.0,5938.053131103516
520,field0764,169.0,6276.702880859375
521,field0765,192.0,13193.51196193695
522,field0766,190.0,22747.89810180664
523,field0767,121.0,20932.19757080078
524,field0768,164.0,19917.651176452637
525,field0769,188.0,34260.220527648926
526,field0770,184.0,22042.11139678955
527,field0771,128.0,15065.193176269531
528,field0772,129.0,7303.333282470703
529,field0773,129.0,7673.358917236328
530,field0774,129.0,6683.158874511719
531,field0775,140.0,8935.64224243164
532,field0776,141.0,8203.22036743164
533,field0777,139.0,5090.959548950195
534,field0778,174.0,5824.151039123535
535,field0779,188.0,5374.396324157715
536,field0780,128.0,2753.2577514648438
537,field0781,128.0,2695.0836181640625
538,field0782,147.0,1927.267074584961
539,field0783,145.0,1230.7720184326172
540,field0784,128.0,1008.8920593261719
541,field0785,131.0,1210.7744216918945
542,field0786,133.0,1333.536148071289
543,field0787,186.0,1355.0472259521484
544,field0788,192.0,1138.1149291992188
545,field0789,192.0,1671.5736379623413
546,field0790,192.0,1370.3346223831177
547,field0791,192.0,1626.0147075653076
548,field0792,192.0,2082.538604736328
549,field0793,192.0,2438.9266967773438
550,field0794,192.0,3281.2118530273438
551,field0795,192.0,4068.6607360839844
552,field0796,192.0,5288.028710365295
553,field0797,192.0,6862.449645996094
554,field0798,192.0,8514.881130218506
555,field0799,128.0,7621.76513671875
556,field0800,128.0,11136.054992675781
557,field0801,128.0,16648.292541503906
558,field0802,188.0,20411.566734313965
559,field0803,149.0,31986.331939697266
560,field0804,153.0,21050.891876220703
561,field0805,154.0,14202.953338623047
562,field0806,182.0,19700.444221496582
563,field0807,187.0,19853.51848602295
564,field0808,164.0,9455.780982971191
565,field0809,164.0,6827.768325805664
566,field0810,128.0,3754.138946533203
567,field0811,128.0,2472.686767578125
568,field0812,128.0,1737.7853393554688
569,field0813,128.0,1787.567138671875
570,field0814,130.0,1315.9742345809937
571,field0815,128.0,932.1212749481201
572,field0816,131.0,932.4655523300171
573,field0817,185.0,1063.368797302246
574,field0818,191.0,1064.1098022460938
575,field0819,191.0,1569.9052801132202
576,field0820,191.0,1423.5496425628662
577,field0821,192.0,1541.995997428894
578,field0822,192.0,1914.0243530273438
579,field0823,192.0,2471.637725830078
580,field0824,192.0,3623.96240234375
581,field0825,192.0,4656.982416152954
582,field0826,192.0,6047.630307197571
583,field0827,192.0,7652.282713890076
584,field0828,192.0,10329.437255859375
585,field0829,128.0,6303.7872314453125
586,field0830,186.0,17453.526496887207
587,field0831,189.0,12824.953079223633
588,field0832,161.0,11294.435501098633
589,field0833,184.0,7525.548934936523
590,field0834,128.0,4606.2469482421875
591,field0835,128.0,3146.5530395507812
592,field0836,128.0,2432.8231811523438
593,field0837,128.0,3009.796142578125
594,field0838,128.0,1842.3080444335938
595,field0839,128.0,1280.6892347335815
596,field0840,137.0,915.186882019043
597,field0841,128.0,907.1350078582764
598,field0842,188.0,1030.731201171875
599,field0843,192.0,1248.359679222107
600,field0844,192.0,1325.7026662826538
601,field0845,192.0,1389.2173738479614
602,field0846,192.0,1912.4031066894531
603,field0847,192.0,2724.456787109375
604,field0848,192.0,4157.7339153289795
605,field0849,192.0,5250.358581542969
606,field0850,128.0,3029.8233032226562
607,field0851,128.0,3769.8745727539062
608,field0852,128.0,5110.740661621094
609,field0853,128.0,5221.366882324219
610,field0854,128.0,2839.0884399414062
611,field0855,128.0,2129.077911376953
612,field0856,128.0,2807.6171875
613,field0857,128.0,1950.2639770507812
614,field0858,128.0,1348.114013671875
615,field0859,137.0,971.0063934326172
616,field0860,185.0,1063.3468618392944
617,field0861,192.0,1011.8484497070312
618,field0862,192.0,1089.7636413574219
619,field0863,192.0,1344.29931640625
620,field0864,192.0,2266.693115234375
621,field0865,191.0,3144.073479652405
622,field0866,128.0,2164.936065673828
623,field0867,128.0,2048.015594482422
624,field0868,128.0,3000.640869140625
625,field0869,84.0,790.3099021911621
626,field0870,84.0,564.3844566345215
627,field0871,82.0,421.0472059249878
628,field0872,84.0,342.7505474090576
629,field0873,84.0,328.06396484375
630,field0874,82.0,421.0472011566162
631,field0875,80.0,514.411922454834
632,field0876,82.0,707.6263427734375
633,field0877,84.0,804.901123046875
634,field0880,32.0,204.65850830078125
635,field0881,32.0,93.84155178070068
636,field1248,3.0,0.18215179443359375
637,field1287,17.0,1.9903182983398438
638,field1288,9.0,1.0156631469726562
639,field1289,81.0,4.137992858886719
640,field1290,119.0,4.187583923339844
641,field1291,98.0,3.5238265991210938
642,field1292,120.0,8.507728576660156
643,field1293,123.0,9.426116943359375
644,field1294,124.0,6.34765625
645,field1295,125.0,8.82720947265625
646,field1296,125.0,14.688491821289062
647,field1297,123.0,16.915321350097656
648,field1298,62.0,15.986442565917969
649,field1299,61.0,27.88257598876953
650,field1300,40.0,32.93895721435547
651,field1336,1.0,0.11444091796875
652,field1337,118.0,10.668754577636719
653,field1338,106.0,15.729904174804688
654,field1339,93.0,12.912750244140625
655,field1340,115.0,18.945693969726562
656,field1341,122.0,27.837753295898438
657,field1342,127.0,26.534080505371094
658,field1343,124.0,25.68340301513672
659,field1344,126.0,32.56034851074219
660,field1345,126.0,35.869598388671875
661,field1346,125.0,35.94970703125
662,field1347,125.0,38.05828094482422
663,field1348,125.0,56.92005157470703
664,field1349,123.0,71.63429260253906
665,field1350,61.0,69.14329528808594
666,field1351,61.0,75.75321197509766
667,field1352,62.0,110.53085327148438
668,field1353,61.0,91.1712646484375
669,field1354,34.0,32.75775909423828
670,field1386,53.0,8.095741271972656
671,field1387,53.0,7.4310302734375
672,field1388,114.0,9.966850280761719
673,field1389,119.0,32.085418701171875
674,field1390,118.0,33.39958190917969
675,field1391,103.0,28.760910034179688
676,field1392,104.0,31.86321258544922
677,field1393,107.0,32.10163116455078
678,field1394,128.0,44.70252990722656
679,field1395,128.0,44.26288604736328
680,field1396,128.0,44.58808898925781
681,field1397,127.0,47.509193420410156
682,field1398,127.0,56.610107421875
683,field1399,128.0,74.16820526123047
684,field1400,128.0,102.9043197631836
685,field1401,125.0,93.60027313232422
686,field1402,128.0,167.82569885253906
687,field1403,127.0,256.3629150390625
688,field1404,124.0,263.3094787597656
689,field1405,64.0,200.36696910858154
690,field1406,63.0,85.61229705810547
691,field1407,62.0,53.87401580810547
692,field1408,38.0,25.21228790283203
693,field1409,1.0,0.39958953857421875
694,field1438,122.0,13.769149780273438
695,field1439,124.0,18.9361572265625
696,field1440,122.0,31.942367553710938
697,field1441,128.0,99.32708740234375
698,field1442,128.0,76.00116729736328
699,field1443,128.0,70.8322525024414
700,field1444,128.0,67.5191879272461
701,field1445,128.0,81.46381378173828
702,field1446,128.0,68.75133514404297
703,field1447,128.0,69.5962905883789
704,field1448,128.0,77.22282409667969
705,field1449,128.0,76.57432556152344
706,field1450,128.0,83.82320404052734
707,field1451,128.0,119.68612670898438
708,field1452,128.0,178.76911163330078
709,field1453,128.0,177.5369644165039
710,field1454,128.0,341.82453060150146
711,field1455,128.0,386.44218254089355
712,field1456,128.0,322.5326509475708
713,field1457,64.0,119.30465698242188
714,field1458,63.0,57.53326416015625
715,field1460,57.0,26.770591735839844
716,field1462,64.0,34.699440002441406
717,field1487,89.0,23.24199676513672
718,field1488,116.0,46.497344970703125
719,field1489,127.0,57.465553283691406
720,field1490,117.0,58.56513977050781
721,field1491,128.0,64.94331359863281
722,field1492,128.0,68.603515625
723,field1493,128.0,175.79078674316406
724,field1494,128.0,152.20355987548828
725,field1495,128.0,145.13015747070312
726,field1496,128.0,134.0017318725586
727,field1497,128.0,125.16117095947266
728,field1498,128.0,108.44707489013672
729,field1499,128.0,98.93512725830078
730,field1500,128.0,95.71266174316406
731,field1501,128.0,117.7663803100586
732,field1502,128.0,132.7981948852539
733,field1503,128.0,205.6417465209961
734,field1504,128.0,242.37537384033203
735,field1505,128.0,328.06396198272705
736,field1506,127.0,434.01717948913574
737,field1507,128.0,474.2622375488281
738,field1508,127.0,451.2786865234375
739,field1509,126.0,267.8327531814575
740,field1510,128.0,112.0595932006836
741,field1511,64.0,60.37139892578125
742,field1512,63.0,46.482086181640625
743,field1513,63.0,49.51190948486328
744,field1514,63.0,40.14778137207031
745,field1515,43.0,28.267860412597656
746,field1517,12.0,2.4662017822265625
747,field1537,1.0,3.814697265625
748,field1538,124.0,217.62847900390625
749,field1539,126.0,271.3623046875
750,field1540,127.0,286.1995668411255
751,field1541,128.0,225.91876983642578
752,field1542,128.0,210.83641052246094
753,field1543,128.0,209.87606048583984
754,field1544,128.0,210.6170654296875
755,field1545,128.0,268.0778503417969
756,field1546,129.0,267.85850524902344
757,field1547,128.0,251.57928466796875
758,field1548,128.0,206.44378662109375
759,field1549,128.0,191.34807586669922
760,field1550,128.0,148.9553451538086
761,field1551,128.0,161.63063049316406
762,field1552,128.0,146.07715606689453
763,field1553,128.0,188.84563446044922
764,field1554,128.0,225.25787353515625
765,field1555,128.0,306.4155578613281
766,field1556,128.0,422.0962505340576
767,field1557,128.0,618.1716871261597
